2940.0875 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000002A902828>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000000002A950668>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1600,  900]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2940.0876 	EXP 	window1: recordFrameIntervals = False
2940.2700 	EXP 	window1: recordFrameIntervals = True
2940.4535 	EXP 	window1: recordFrameIntervals = False
2940.6105 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0.  , -0.35]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.3)
2940.6435 	EXP 	Created Instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions_text', opacity=1.0, ori=0, pos=array([-0.8,  0.4]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.55)
2940.6554 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([-0.8,  0. ]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
2940.6885 	EXP 	Created DemoInstr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='DemoInstr', opacity=1.0, ori=0, pos=array([-0.8,  0.4]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.4)
2940.6973 	EXP 	Created Label = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='darkolivegreen', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Label', opacity=1.0, ori=0, pos=array([0.6, 0.2]), rgb=array([ 85., 107.,  47.]), text='pun', units='height', win=Window(...), wrapWidth=0.3)
2940.7240 	EXP 	Created sentenceCounter = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='sentenceCounter', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.3)
2941.1047 	EXP 	Instructions_text: text = 'Здравствуйте!\n\nВ этом эксперименте вы увидите 24 коротких текста. В некоторых из них может быть:\n\n  1 — каламбур (шутка, основанная на сходных по звучанию, \n                           но разных по значению словах),\n  2 — ирония (высказывание, истинный смысл которого \n                       противоположен подразумеваемому),\n  3 — метафора (скрытое образное сравнение двух предметов)\n\n...или ничего из вышеперечисленного (текст в прямом смысле).'
